distro,start_date,end_date,score,change
KANOTIX,2022-09-05,2022-10-05,39,level
Nova,2022-09-05,2022-10-05,39,level
Ubuntu Christian,2022-09-05,2022-10-05,39,level
Ufficio Zero,2022-09-05,2022-10-05,39,level
AcademiX,2022-09-05,2022-10-05,38,level
Exe,2022-09-05,2022-10-05,38,level
LibreELEC,2022-09-05,2022-10-05,38,level
Bedrock,2022-09-05,2022-10-05,37,level
Finnix,2022-09-05,2022-10-05,37,level
FuguIta,2022-09-05,2022-10-05,37,level
Navy,2022-09-05,2022-10-05,37,level
Pisi,2022-09-05,2022-10-05,37,level
Vine,2022-09-05,2022-10-05,37,level
APODIO,2022-09-05,2022-10-05,36,level
RISC,2022-09-05,2022-10-05,36,up
XStreamOS,2022-09-05,2022-10-05,36,level
Berry,2022-09-05,2022-10-05,35,level
OPNsense,2022-09-05,2022-10-05,35,level
postmarketOS,2022-09-05,2022-10-05,35,level
VyOS,2022-09-05,2022-10-05,35,up
BOSS,2022-09-05,2022-10-05,34,level
Photon,2022-09-05,2022-10-05,34,up
Rockstor,2022-09-05,2022-10-05,34,level
XigmaNAS,2022-09-05,2022-10-05,34,level
Zentyal,2022-09-05,2022-10-05,34,level
Endian,2022-09-05,2022-10-05,33,up
Plamo,2022-09-05,2022-10-05,33,up
Plop,2022-09-05,2022-10-05,33,level
Refracta,2022-09-05,2022-10-05,33,level
Rescatux,2022-09-05,2022-10-05,33,level
VzLinux,2022-09-05,2022-10-05,33,level
BlueOnyx,2022-09-05,2022-10-05,32,level
Condres,2022-09-05,2022-10-05,32,level
Karoshi,2022-09-05,2022-10-05,32,level
Linspire,2022-09-05,2022-10-05,32,level
LliureX,2022-09-05,2022-10-05,32,level
Miracle,2022-09-05,2022-10-05,32,level
RebeccaBlackOS,2022-09-05,2022-10-05,32,level
Source Mage,2022-09-05,2022-10-05,32,level
Springdale,2022-09-05,2022-10-05,32,level
Thinstation,2022-09-05,2022-10-05,32,up
UBOS,2022-09-05,2022-10-05,32,level
Zephix,2022-09-05,2022-10-05,32,level
BSDRP,2022-09-05,2022-10-05,31,level
Enso,2022-09-05,2022-10-05,31,level
Grml,2022-09-05,2022-10-05,31,up
KISS,2022-09-05,2022-10-05,31,level
NST,2022-09-05,2022-10-05,31,level
Porteus Kiosk,2022-09-05,2022-10-05,31,level
Recalbox,2022-09-05,2022-10-05,31,level
Sophos,2022-09-05,2022-10-05,31,level
TurnKey,2022-09-05,2022-10-05,31,up
Untangle,2022-09-05,2022-10-05,31,up
YunoHost,2022-09-05,2022-10-05,31,down
Baruwa,2022-09-05,2022-10-05,30,level
Diamond,2022-09-05,2022-10-05,30,down
Elastix,2022-09-05,2022-10-05,30,level
FreedomBox,2022-09-05,2022-10-05,30,level
Freespire,2022-09-05,2022-10-05,30,down
PLD,2022-09-05,2022-10-05,30,down
PrimTux,2022-09-05,2022-10-05,30,up
SELKS,2022-09-05,2022-10-05,30,level
Shark,2022-09-05,2022-10-05,30,level
Swift,2022-09-05,2022-10-05,30,up
eLearnix,2022-09-05,2022-10-05,29,level
HamoniKR,2022-09-05,2022-10-05,29,level
MAX,2022-09-05,2022-10-05,29,level
Omarine,2022-09-05,2022-10-05,29,level
Uruk,2022-09-05,2022-10-05,29,up
Zevenet,2022-09-05,2022-10-05,29,level
NexentaStor,2022-09-05,2022-10-05,28,level
OviOS,2022-09-05,2022-10-05,28,up
PakOS,2022-09-05,2022-10-05,28,level
paldo,2022-09-05,2022-10-05,28,level
RasPlex,2022-09-05,2022-10-05,28,level
Redo,2022-09-05,2022-10-05,28,down
Volumio,2022-09-05,2022-10-05,28,level
Bicom,2022-09-05,2022-10-05,27,level
FreePBX,2022-09-05,2022-10-05,27,level
ToOpPy,2022-09-05,2022-10-05,27,level
OB2D,2022-09-05,2022-10-05,26,level
RSS,2022-09-05,2022-10-05,26,level
Univention,2022-09-05,2022-10-05,26,level
Canaima,2022-09-05,2022-10-05,25,up
Omoikane,2022-09-05,2022-10-05,24,level
RDS,2022-09-05,2022-10-05,24,up
Tuxedo,2022-09-05,2022-10-05,6,up
Kwort,2022-09-05,2022-10-05,4,up
